"Temp"	"S"	"K"	"BMmax"	"TLmax"	"maxBM"
15	100	1	4	3.50357143716645	15044.0367388833
15	100	1	4	3.13126688070735	30458.1542097888
15	100	1	4	3.34005602194413	32301.1617228376
15	100	1	4	2.99972088513799	10511.4818254066
15	100	1	4	2.99153458088346	20049.8693593377
15	100	1	4	2.49160843477712	30868.0880035835
15	100	1	4	3.27848966727056	26047.3072057263
15	100	1	4	3.04488186413264	46349.6106645582
15	100	1	4	3.01952559803085	24682.0058885535
15	100	1	4	3.56464395106946	16444.7698475989
15	100	1	4	3.71927396485549	9007.82667255187
15	100	1	4	3.326011839037	20639.2953778555
15	100	1	4	3.3941636819542	24074.1322267647
15	100	1	4	2.42586890938624	48080.6058162066
15	100	1	4	2.48208986930543	48702.4354429575
15	100	1	4	3.11700296404083	27746.6322290693
15	100	1	4	3.15094053818964	14333.9333989606
15	100	1	4	2.91995945508524	19314.5846061998
15	100	1	4	2.55811487728234	12674.4655923307
15	100	1	4	2.99556009913946	19216.4192117193
15	100	1	4	3.00000913151703	9298.70386811451
15	100	1	4	2.8234657783517	82163.5915908315
15	100	1	4	2.90710010880925	40424.46082391
15	100	1	4	3.07576683572661	73382.2470610673
15	100	1	4	3.21265022973878	20686.3508752144
15	100	1	4	3.67254981678973	13421.8736494364
15	100	1	4	3.66709632765266	31951.6129168003
15	100	1	4	3.10596687129756	10615.8765068785
15	100	1	4	3.00535818908615	13039.4409810695
15	100	1	4	3.4437844306328	36754.7466424524
15	100	1	4	3.10353746039121	57169.1915407942
15	100	1	4	3.07519595256152	35855.3410311214
15	100	1	4	3.65468980222284	17834.9372442842
15	100	1	4	3.19008058523875	47632.5926184661
15	100	1	4	2.47966318711518	6316.80198136845
15	100	1	4	2.62688383978007	16935.4467406732
15	100	1	4	2.94476166981436	44472.6138773232
15	100	1	4	3.67215504695248	29720.4527230446
15	100	1	4	3.29408300295481	40928.1795176491
15	100	1	4	3.18134513959841	21751.4395666768
15	100	1	4	3.24217967869304	24643.9079599339
15	100	1	4	3.33457750013844	21171.9095999548
15	100	1	4	2.75025044096724	15915.3481029148
15	100	1	4	3.15040234212373	40180.6504145858
15	100	1	4	2.97700247286507	7511.70112729224
15	100	1	4	3.11658350213451	33128.2176862691
15	100	1	4	2.57443915930756	142200.148433298
15	100	1	4	2.99409818473749	37773.3109372806
15	100	1	4	3.61870424956652	22786.9638923475
15	100	1	4	3.00010433382874	14315.9283512282
15	100	1	4	2.90009640295384	28545.8707852595
15	100	1	4	2.99581166963254	9668.32941174885
15	100	1	4	3.53232766952336	19012.4680939934
15	100	1	4	3.04478849089669	27704.5122980059
15	100	1	4	3.05477493563098	23484.8662884958
15	100	1	4	3.03510421243706	40836.6223456777
15	100	1	4	2.28365669790089	48505.3322306058
15	100	1	4	3.34286536062902	22755.0980422381
15	100	1	4	3.00043123536039	13973.7429755723
15	100	1	4	2.98786403586821	13408.8372633969
15	100	1	4	2.72297007823148	16204.4648612767
15	100	1	4	2.84829671896495	11519.4373113109
15	100	1	4	3.17540786381642	19882.4436090662
15	100	1	4	3.56576376816906	13725.8119404621
15	100	1	4	3.63538761447606	34603.9457390904
15	100	1	4	2.58212911108228	153212.842704331
15	100	1	4	3.30689836326204	24865.9256306459
15	100	1	4	3.47083461466552	23092.3311211889
15	100	1	4	3.00018264770147	11229.054070595
15	100	1	4	3.39402387101219	24720.98416929
15	100	1	4	3.00002192336808	37424.3842520416
NA	NA	NA	NA	NA	NA
15	100	1	4	2.99999984192813	11789.5546030705
15	100	1	4	2.99984850686391	25076.8662603799
