"Temp"	"S"	"K"	"BMmax"	"Z"	"omega"	"TLmax"	"maxBM"
20	100	1	6	0	0.1	4.05020293890085	894907.587913513
20	100	1	6	0	0.1	4.05008845278571	539349.966629485
20	100	1	6	0	0.1	4.35326786341793	4809526.79599428
20	100	1	6	0	0.1	3.02706406714896	334.594951810852
20	100	1	6	0	0.1	3.97154349451609	3042894.76674405
20	100	1	6	0	0.1	3.53487350842165	9060517.09220957
20	100	1	6	0	0.1	4.85196220880616	980453.426519725
20	100	1	6	0	0.1	3.94689148034184	9565863.74455916
20	100	1	6	0	0.1	3.78560858728139	3234587.29838513
20	100	1	6	0	0.1	4.21532178188999	169481.857356532
20	100	1	6	0	0.1	3.29011949233677	1498.65714353459
20	100	1	6	0	0.1	4.66143204812669	118254.531760173
20	100	1	6	0	0.1	4.57309045439063	284943.504289347
20	100	1	6	0	0.1	3.52502894935914	5103889.97724941
20	100	1	6	0	0.1	3.7677518440344	5849995.0514952
20	100	1	6	0	0.1	3.97408228849759	2951001.81549765
20	100	1	6	0	0.1	3.42217190841818	3831575.86213244
20	100	1	6	0	0.1	3.84566329276917	10829.0359686957
20	100	1	6	0	0.1	4.5534180931465	1887069.28997579
20	100	1	6	0	0.1	3.42724544040746	5103216.26595909
20	100	1	6	0	0.1	3.97482406269156	2227800.88545257
20	100	1	6	0	0.1	3.62714610984579	3369053.26740818
20	100	1	6	0	0.1	3.51770399522474	5863897.59466891
20	100	1	6	0	0.1	4.18059406027857	9301643.48295076
20	100	1	6	0	0.1	3.53317478952495	3449492.78207361
20	100	1	6	0	0.1	3.30451637924516	939.889929679942
20	100	1	6	0	0.1	4.34568695253443	811925.666685272
20	100	1	6	0	0.1	3.38924717053616	1301.16260016259
20	100	1	6	0	0.1	4.59306423984399	218005.583771289
20	100	1	6	0	0.1	4.20136743127202	2649545.28211239
20	100	1	6	0	0.1	3.5151419724834	6194579.85083748
20	100	1	6	0	0.1	3.90662190858764	678073.521596737
20	100	1	6	0	0.1	3.77078303219687	17794.1923330963
20	100	1	6	0	0.1	4.16395145231728	4506950.99325195
20	100	1	6	0	0.1	2.52026351441204	17579.7101120673
20	100	1	6	0	0.1	4.3104836279558	443852.571093741
20	100	1	6	0	0.1	3.82118988454155	4384669.94620461
20	100	1	6	0	0.1	4.42531272037586	1507420.99146784
20	100	1	6	0	0.1	4.61056013881585	2689817.2321201
20	100	1	6	0	0.1	4.76596885392349	373950.178978579
20	100	1	6	0	0.1	4.167913173439	1921706.65891799
20	100	1	6	0	0.1	3.45771729258308	9785595.04267509
20	100	1	6	0	0.1	3.62084817985734	5840432.28885612
20	100	1	6	0	0.1	4.40354670627325	5424670.62471862
20	100	1	6	0	0.1	2.82393132223687	223.307555590551
20	100	1	6	0	0.1	3.43187243827749	8437727.51166621
20	100	1	6	0	0.1	3.58506905604537	5651696.08193586
20	100	1	6	0	0.1	3.15629622336398	342.318237097587
20	100	1	6	0	0.1	3.78740954621905	498643.907868953
20	100	1	6	0	0.1	3.47307163921055	1694.34138831391
20	100	1	6	0	0.1	3.58173479443703	1855426.97372712
20	100	1	6	0	0.1	2.96145479486403	427.548511587638
20	100	1	6	0	0.1	4.69749026922044	607149.996184183
20	100	1	6	0	0.1	3.50591414968708	5174173.77941827
20	100	1	6	0	0.1	4.23208608660802	426595.229015313
20	100	1	6	0	0.1	4.16224770022481	9155365.27942421
20	100	1	6	0	0.1	3.99989743710359	2678251.64839944
20	100	1	6	0	0.1	4.15213832393386	447107.430336426
20	100	1	6	0	0.1	3.22448381984201	388.348084345891
20	100	1	6	0	0.1	3.05921757086507	1291.45871892871
20	100	1	6	0	0.1	3.53902559831541	11227444.7032983
20	100	1	6	0	0.1	4.81193496013719	437905.502686722
20	100	1	6	0	0.1	4.96815780779764	317432.16342965
20	100	1	6	0	0.1	3.93349977271526	483113.076526993
20	100	1	6	0	0.1	4.64929255827523	2400954.99952782
20	100	1	6	0	0.1	3.38138419003116	4451761.30075132
20	100	1	6	0	0.1	3.69592287786411	4867170.78603868
20	100	1	6	0	0.1	4.67173546119153	1209740.38274597
20	100	1	6	0	0.1	3.01751797717739	478.713070375736
20	100	1	6	0	0.1	3.89056486663891	6252323.13796442
20	100	1	6	0	0.1	3.69311075558451	11543521.1107272
NA	NA	NA	NA	NA	NA	NA	NA
20	100	1	6	0	0.1	3.82077423982393	4824.90301014612
20	100	1	6	0	0.1	2.98077426025886	13290.5347388108
20	100	1	6	0	0.1	2.98402575184293	365.169985867491
20	100	1	6	0	0.1	4.68228199339683	272219.96615281
20	100	1	6	0	0.1	3.38809433386219	3683586.32163412
20	100	1	6	0	0.1	4.23542148000608	2830425.50505043
20	100	1	6	0	0.1	4.10854729243231	3126514.75445215
20	100	1	6	0	0.1	3.52880884994716	4620.30149900573
20	100	1	6	0	0.1	2.73113993985746	897.378301988334
20	100	1	6	0	0.1	4.74308654448981	2183824.83725133
20	100	1	6	0	0.1	3.49324221352455	704337.041632548
20	100	1	6	0	0.1	5.13342426839417	240802.299070223
20	100	1	6	0	0.1	3.00559046353202	208.281699527094
20	100	1	6	0	0.1	3.85202560746716	5789050.61016291
20	100	1	6	0	0.1	3	1474.28337989165
20	100	1	6	0	0.1	3.95325222444369	105795.822529063
20	100	1	6	0	0.1	3.56087477787452	928649.658581875
20	100	1	6	0	0.1	4.12637626206575	1446600.6505755
20	100	1	6	0	0.1	4.14749184415896	1141144.88041804
20	100	1	6	0	0.1	2.62214814305774	6422.69322681979
20	100	1	6	0	0.1	3.99923709001225	6165492.76107385
20	100	1	6	0	0.1	3.62104069790449	3721208.30540873
20	100	1	6	0	0.1	4.4535976605607	57016.2350014489
20	100	1	6	0	0.1	3.68590099761359	4078300.03558094
20	100	1	6	0	0.1	4.34670149624108	1006354.47654514
20	100	1	6	0	0.1	3.69897731531932	10556.2155061209
20	100	1	6	0	0.1	3.50295881371475	4960417.29049138
20	100	1	6	0	0.1	3.42347968533262	13083.5583143975
20	100	1	6	0.25	0.1	2.3417263764442	554.353724460928
20	100	1	6	0.25	0.1	2.70123733383083	135.920994994564
20	100	1	6	0.25	0.1	2.97454103414672	292.517494848862
20	100	1	6	0.25	0.1	2.18102690737041	157.657534132722
20	100	1	6	0.25	0.1	2.85286114612253	373.122435815501
20	100	1	6	0.25	0.1	2.49565106452152	677.707998512502
20	100	1	6	0.25	0.1	2.80277862160656	183.028209150766
20	100	1	6	0.25	0.1	3.10608669607139	496.282402535159
20	100	1	6	0.25	0.1	2.74583242092938	509.586225121452
20	100	1	6	0.25	0.1	2.32268457876837	136.021547912368
20	100	1	6	0.25	0.1	2	14.6129583091401
20	100	1	6	0.25	0.1	2	276.898948820692
20	100	1	6	0.25	0.1	2.54660440226891	134.811333263814
20	100	1	6	0.25	0.1	3.29912482052991	605.099111403373
20	100	1	6	0.25	0.1	3.07089584310385	677.930584368796
20	100	1	6	0.25	0.1	2.38189585253961	431.473643519294
20	100	1	6	0.25	0.1	2.80259909826357	609.654708565135
20	100	1	6	0.25	0.1	2.64907444381476	73.7268419289278
20	100	1	6	0.25	0.1	2.30327627024188	335.959921354966
20	100	1	6	0.25	0.1	2.80243512956664	713.095512373191
20	100	1	6	0.25	0.1	3.00783925573861	459.954839347702
20	100	1	6	0.25	0.1	3.19222146029224	742.288700938227
20	100	1	6	0.25	0.1	3.04813676427233	686.84947915749
20	100	1	6	0.25	0.1	3.19834105560076	418.402880093418
20	100	1	6	0.25	0.1	2.223826966221	637.041051443106
20	100	1	6	0.25	0.1	2.54437412467094	65.4263632149508
20	100	1	6	0.25	0.1	2	13.5012010770799
20	100	1	6	0.25	0.1	2.43509061001444	91.1663706518761
20	100	1	6	0.25	0.1	2.13785469851756	118.104540645313
20	100	1	6	0.25	0.1	2.69288504298242	447.386269619609
20	100	1	6	0.25	0.1	1	921.14416628058
20	100	1	6	0.25	0.1	2.31270006364429	883.258160014671
20	100	1	6	0.25	0.1	2.46526049691211	378.814865298904
20	100	1	6	0.25	0.1	3.27333239677372	479.885380757135
20	100	1	6	0.25	0.1	2.25018883530312	676.003814788792
20	100	1	6	0.25	0.1	2.45654231991037	671.924313834972
20	100	1	6	0.25	0.1	2.88998995458093	274.767842397293
20	100	1	6	0.25	0.1	2.47451142340263	495.981995975209
20	100	1	6	0.25	0.1	2.85420156386082	59.8784508308288
20	100	1	6	0.25	0.1	2.51815794941844	188.917762882215
20	100	1	6	0.25	0.1	2.81616160508197	702.787201008067
20	100	1	6	0.25	0.1	2.86277609177826	604.389140476383
20	100	1	6	0.25	0.1	2.86941927470608	354.273630200915
20	100	1	6	0.25	0.1	2.63683979964592	97.7966796991913
20	100	1	6	0.25	0.1	2	43.6024648517853
20	100	1	6	0.25	0.1	3.224375764077	520.836480214151
20	100	1	6	0.25	0.1	2.16578862250289	1016.47654124943
20	100	1	6	0.25	0.1	2.3800733063876	60.9597043252349
20	100	1	6	0.25	0.1	2.34618503016797	214.281157611809
20	100	1	6	0.25	0.1	2	105.641404367124
20	100	1	6	0.25	0.1	2.85889475495007	481.035363379288
20	100	1	6	0.25	0.1	2.15408455630717	46.3537872950959
20	100	1	6	0.25	0.1	2.54530302286545	140.541080429796
20	100	1	6	0.25	0.1	3.05804086818202	818.892017472271
20	100	1	6	0.25	0.1	2.32065453170134	110.633059820348
20	100	1	6	0.25	0.1	3.03568942969201	183.31868969024
20	100	1	6	0.25	0.1	2.96457820543491	334.823990345829
20	100	1	6	0.25	0.1	2.84101838252536	398.254838127428
20	100	1	6	0.25	0.1	2.19464295676105	11.8025514125075
20	100	1	6	0.25	0.1	2.57191303810507	270.920053084639
20	100	1	6	0.25	0.1	2.56111448328673	399.815184873621
20	100	1	6	0.25	0.1	2.48306500275482	179.689017974008
20	100	1	6	0.25	0.1	2.28687221194141	224.60848031195
20	100	1	6	0.25	0.1	2.35321598773265	586.061378638923
20	100	1	6	0.25	0.1	2.78855922369586	209.13517781518
20	100	1	6	0.25	0.1	2.07265426310945	1042.389077526
20	100	1	6	0.25	0.1	2.68057484167186	608.198993669497
20	100	1	6	0.25	0.1	2.47781622054868	545.961853869196
20	100	1	6	0.25	0.1	2	9.71699424935674
20	100	1	6	0.25	0.1	3.00146618562079	356.477696556827
20	100	1	6	0.25	0.1	3.37002599073181	459.30132667779
NA	NA	NA	NA	NA	NA	NA	NA
20	100	1	6	0.25	0.1	2.08485437028912	277.060429578555
20	100	1	6	0.25	0.1	2.58339251309018	528.853869683208
20	100	1	6	0.25	0.1	2.07199088332159	170.520037795965
20	100	1	6	0.25	0.1	2.60841703891579	181.475188698301
20	100	1	6	0.25	0.1	2.35198384438372	905.283036730471
20	100	1	6	0.25	0.1	2.34921997605129	387.06672705912
20	100	1	6	0.25	0.1	3.16432391823098	444.383403806455
20	100	1	6	0.25	0.1	2.08658489952255	208.921493842153
20	100	1	6	0.25	0.1	2	235.052686441021
20	100	1	6	0.25	0.1	2.80155544742169	177.577180446235
20	100	1	6	0.25	0.1	2	603.581897487443
20	100	1	6	0.25	0.1	2.07323491467193	162.414631906348
20	100	1	6	0.25	0.1	2	9.67153343247839
20	100	1	6	0.25	0.1	2.84504244280471	384.28114843307
20	100	1	6	0.25	0.1	1	364.350097013021
20	100	1	6	0.25	0.1	2.26719999062659	625.425805886571
20	100	1	6	0.25	0.1	2.42823097289876	374.110533308789
20	100	1	6	0.25	0.1	3.09185812340133	378.169758329884
20	100	1	6	0.25	0.1	2.85617617133977	383.567197371723
20	100	1	6	0.25	0.1	2	321.019662572562
20	100	1	6	0.25	0.1	2.85080145671882	290.657815189142
20	100	1	6	0.25	0.1	2.66582745220569	369.217234947699
20	100	1	6	0.25	0.1	2.97479534437455	361.576108782068
20	100	1	6	0.25	0.1	2.95884657870354	634.683804437308
20	100	1	6	0.25	0.1	2.67794648081303	360.876528595554
20	100	1	6	0.25	0.1	2.30718569178113	146.285245557134
20	100	1	6	0.25	0.1	2.82047429184528	845.482195345048
20	100	1	6	0.25	0.1	2.19224832546506	95.500688650754
20	100	1	6	0.5	0.1	2	363.496409477613
20	100	1	6	0.5	0.1	2.10094495772365	108.875755860695
20	100	1	6	0.5	0.1	2.16452927562667	215.519333468665
20	100	1	6	0.5	0.1	2	122.617765065834
20	100	1	6	0.5	0.1	2.34874150478601	278.27060301098
20	100	1	6	0.5	0.1	2.20245862466245	437.763869201102
20	100	1	6	0.5	0.1	2.20724214321954	143.545833469085
20	100	1	6	0.5	0.1	2.42353982980432	353.430528742697
20	100	1	6	0.5	0.1	2.10733579105716	361.305009479823
20	100	1	6	0.5	0.1	2	110.485565156265
20	100	1	6	0.5	0.1	1	13.8740756165297
20	100	1	6	0.5	0.1	1	153.812388743127
20	100	1	6	0.5	0.1	2.155535854888	103.123591241465
20	100	1	6	0.5	0.1	2.41895209714679	418.604746692835
20	100	1	6	0.5	0.1	2.50035444352653	458.760825461443
20	100	1	6	0.5	0.1	1	286.712234782694
20	100	1	6	0.5	0.1	2.06658600768159	398.517418679242
20	100	1	6	0.5	0.1	2	61.3341315744476
20	100	1	6	0.5	0.1	2	243.968402222883
20	100	1	6	0.5	0.1	2	444.518277790537
20	100	1	6	0.5	0.1	2.21240220142225	315.348491471342
20	100	1	6	0.5	0.1	2.26701210788952	497.963850468647
20	100	1	6	0.5	0.1	2.34236328894035	481.83964872804
20	100	1	6	0.5	0.1	2.6866576213733	313.065105121929
20	100	1	6	0.5	0.1	2.03119135433293	424.896649191316
20	100	1	6	0.5	0.1	2.08379895461101	55.1197924021472
20	100	1	6	0.5	0.1	1	10.6772230506868
20	100	1	6	0.5	0.1	2	75.0732254437378
20	100	1	6	0.5	0.1	2	92.7889269839054
20	100	1	6	0.5	0.1	2.11982960958007	307.31650805309
20	100	1	6	0.5	0.1	1	460.92185255693
20	100	1	6	0.5	0.1	2.08488806872786	460.606356904995
20	100	1	6	0.5	0.1	2	279.422997739319
20	100	1	6	0.5	0.1	2.63725861328955	360.576309509649
20	100	1	6	0.5	0.1	2	437.545687928379
20	100	1	6	0.5	0.1	2	445.38169108028
20	100	1	6	0.5	0.1	2.34005116634794	196.441087156596
20	100	1	6	0.5	0.1	2.04763681788777	334.431806219407
20	100	1	6	0.5	0.1	2.22653540944487	48.7256553885035
20	100	1	6	0.5	0.1	2.25842717117935	150.593024511607
20	100	1	6	0.5	0.1	2.13936519392505	464.394522322594
20	100	1	6	0.5	0.1	2.57705237022523	360.988522792533
20	100	1	6	0.5	0.1	2.30928677437182	253.807277578725
20	100	1	6	0.5	0.1	2.15001013466821	80.5330245603132
20	100	1	6	0.5	0.1	1	35.1109958696629
20	100	1	6	0.5	0.1	2.62667364364959	355.470178220961
20	100	1	6	0.5	0.1	2	513.379013952732
20	100	1	6	0.5	0.1	2	46.2671321366474
20	100	1	6	0.5	0.1	2	162.415811889828
20	100	1	6	0.5	0.1	1	86.71536497506
20	100	1	6	0.5	0.1	2.26086770436437	347.044223004133
20	100	1	6	0.5	0.1	1	40.4489943376089
20	100	1	6	0.5	0.1	2.21183905892449	111.964257225211
20	100	1	6	0.5	0.1	2.50853975107758	489.390135751371
20	100	1	6	0.5	0.1	2	81.6609358638409
20	100	1	6	0.5	0.1	2.29837414369401	131.258162592051
20	100	1	6	0.5	0.1	2.37621369701521	263.197742009839
20	100	1	6	0.5	0.1	2.27074242842196	293.098912298428
20	100	1	6	0.5	0.1	2	10.8181191869662
20	100	1	6	0.5	0.1	2	191.339052003799
20	100	1	6	0.5	0.1	2	280.692932863995
20	100	1	6	0.5	0.1	2	138.13862686831
20	100	1	6	0.5	0.1	2	168.313544101136
20	100	1	6	0.5	0.1	2	382.891233805284
20	100	1	6	0.5	0.1	2.28806991428008	170.618537260123
20	100	1	6	0.5	0.1	2	529.487752163087
20	100	1	6	0.5	0.1	2.15658275842256	396.806626237057
20	100	1	6	0.5	0.1	2.08277186906805	386.385696775285
20	100	1	6	0.5	0.1	1	8.10741374675861
20	100	1	6	0.5	0.1	2.1909082487686	248.520061692291
20	100	1	6	0.5	0.1	2.75605170689236	335.868471479811
NA	NA	NA	NA	NA	NA	NA	NA
20	100	1	6	0.5	0.1	2	202.068864003465
20	100	1	6	0.5	0.1	2	356.556390443241
20	100	1	6	0.5	0.1	2	126.450265635241
20	100	1	6	0.5	0.1	2.10315906748093	140.484331638146
20	100	1	6	0.5	0.1	2.07043956853989	466.796710299511
20	100	1	6	0.5	0.1	2	271.221329651672
20	100	1	6	0.5	0.1	2.43321187976502	311.203461982668
20	100	1	6	0.5	0.1	2	153.699382930946
20	100	1	6	0.5	0.1	1	166.434992534664
20	100	1	6	0.5	0.1	2.15487678994546	139.907298172885
20	100	1	6	0.5	0.1	1	401.084203213784
20	100	1	6	0.5	0.1	1	125.845152963164
20	100	1	6	0.5	0.1	1	8.29186640437893
20	100	1	6	0.5	0.1	2.18007705949967	279.137877641265
20	100	1	6	0.5	0.1	1	258.368769116337
20	100	1	6	0.5	0.1	2	426.356888333033
20	100	1	6	0.5	0.1	2	273.715013954397
20	100	1	6	0.5	0.1	2.36528268093737	285.554686699066
20	100	1	6	0.5	0.1	2.26471452341502	304.000232343949
20	100	1	6	0.5	0.1	1	228.281792280848
20	100	1	6	0.5	0.1	2.17597411657992	203.62264824962
20	100	1	6	0.5	0.1	2	253.024724661141
20	100	1	6	0.5	0.1	2.34620318974912	278.325382621131
20	100	1	6	0.5	0.1	2.3544211866293	406.761043087916
20	100	1	6	0.5	0.1	2.20332585828103	252.937015324287
20	100	1	6	0.5	0.1	2	113.003137249294
20	100	1	6	0.5	0.1	2.09660993843794	525.995963692868
20	100	1	6	0.5	0.1	2	71.1511592520069
20	100	1	6	0	0.5	4.05020293890085	894907.587913513
20	100	1	6	0	0.5	4.05008845278571	539349.966629485
20	100	1	6	0	0.5	4.35326786341793	4809526.79599428
20	100	1	6	0	0.5	3.02706406714896	334.594951810852
20	100	1	6	0	0.5	3.97154349451609	3042894.76674405
20	100	1	6	0	0.5	3.53487350842165	9060517.09220957
20	100	1	6	0	0.5	4.85196220880616	980453.426519725
20	100	1	6	0	0.5	3.94689148034184	9565863.74455916
20	100	1	6	0	0.5	3.78560858728139	3234587.29838513
20	100	1	6	0	0.5	4.21532178188999	169481.857356532
20	100	1	6	0	0.5	3.29011949233677	1498.65714353459
20	100	1	6	0	0.5	4.66143204812669	118254.531760173
20	100	1	6	0	0.5	4.57309045439063	284943.504289347
20	100	1	6	0	0.5	3.52502894935914	5103889.97724941
20	100	1	6	0	0.5	3.7677518440344	5849995.0514952
20	100	1	6	0	0.5	3.97408228849759	2951001.81549765
20	100	1	6	0	0.5	3.42217190841818	3831575.86213244
20	100	1	6	0	0.5	3.84566329276917	10829.0359686957
20	100	1	6	0	0.5	4.5534180931465	1887069.28997579
20	100	1	6	0	0.5	3.42724544040746	5103216.26595909
20	100	1	6	0	0.5	3.97482406269156	2227800.88545257
20	100	1	6	0	0.5	3.62714610984579	3369053.26740818
20	100	1	6	0	0.5	3.51770399522474	5863897.59466891
20	100	1	6	0	0.5	4.18059406027857	9301643.48295076
20	100	1	6	0	0.5	3.53317478952495	3449492.78207361
20	100	1	6	0	0.5	3.30451637924516	939.889929679942
20	100	1	6	0	0.5	4.34568695253443	811925.666685272
20	100	1	6	0	0.5	3.38924717053616	1301.16260016259
20	100	1	6	0	0.5	4.59306423984399	218005.583771289
20	100	1	6	0	0.5	4.20136743127202	2649545.28211239
20	100	1	6	0	0.5	3.5151419724834	6194579.85083748
20	100	1	6	0	0.5	3.90662190858764	678073.521596737
20	100	1	6	0	0.5	3.77078303219687	17794.1923330963
20	100	1	6	0	0.5	4.16395145231728	4506950.99325195
20	100	1	6	0	0.5	2.52026351441204	17579.7101120673
20	100	1	6	0	0.5	4.3104836279558	443852.571093741
20	100	1	6	0	0.5	3.82118988454155	4384669.94620461
20	100	1	6	0	0.5	4.42531272037586	1507420.99146784
20	100	1	6	0	0.5	4.61056013881585	2689817.2321201
20	100	1	6	0	0.5	4.76596885392349	373950.178978579
20	100	1	6	0	0.5	4.167913173439	1921706.65891799
20	100	1	6	0	0.5	3.45771729258308	9785595.04267509
20	100	1	6	0	0.5	3.62084817985734	5840432.28885612
20	100	1	6	0	0.5	4.40354670627325	5424670.62471862
20	100	1	6	0	0.5	2.82393132223687	223.307555590551
20	100	1	6	0	0.5	3.43187243827749	8437727.51166621
20	100	1	6	0	0.5	3.58506905604537	5651696.08193586
20	100	1	6	0	0.5	3.15629622336398	342.318237097587
20	100	1	6	0	0.5	3.78740954621905	498643.907868953
20	100	1	6	0	0.5	3.47307163921055	1694.34138831391
20	100	1	6	0	0.5	3.58173479443703	1855426.97372712
20	100	1	6	0	0.5	2.96145479486403	427.548511587638
20	100	1	6	0	0.5	4.69749026922044	607149.996184183
20	100	1	6	0	0.5	3.50591414968708	5174173.77941827
20	100	1	6	0	0.5	4.23208608660802	426595.229015313
20	100	1	6	0	0.5	4.16224770022481	9155365.27942421
20	100	1	6	0	0.5	3.99989743710359	2678251.64839944
20	100	1	6	0	0.5	4.15213832393386	447107.430336426
20	100	1	6	0	0.5	3.22448381984201	388.348084345891
20	100	1	6	0	0.5	3.05921757086507	1291.45871892871
20	100	1	6	0	0.5	3.53902559831541	11227444.7032983
20	100	1	6	0	0.5	4.81193496013719	437905.502686722
20	100	1	6	0	0.5	4.96815780779764	317432.16342965
20	100	1	6	0	0.5	3.93349977271526	483113.076526993
20	100	1	6	0	0.5	4.64929255827523	2400954.99952782
20	100	1	6	0	0.5	3.38138419003116	4451761.30075132
20	100	1	6	0	0.5	3.69592287786411	4867170.78603868
20	100	1	6	0	0.5	4.67173546119153	1209740.38274597
20	100	1	6	0	0.5	3.01751797717739	478.713070375736
20	100	1	6	0	0.5	3.89056486663891	6252323.13796442
20	100	1	6	0	0.5	3.69311075558451	11543521.1107272
NA	NA	NA	NA	NA	NA	NA	NA
20	100	1	6	0	0.5	3.82077423982393	4824.90301014612
20	100	1	6	0	0.5	2.98077426025886	13290.5347388108
20	100	1	6	0	0.5	2.98402575184293	365.169985867491
20	100	1	6	0	0.5	4.68228199339683	272219.96615281
20	100	1	6	0	0.5	3.38809433386219	3683586.32163412
20	100	1	6	0	0.5	4.23542148000608	2830425.50505043
20	100	1	6	0	0.5	4.10854729243231	3126514.75445215
20	100	1	6	0	0.5	3.52880884994716	4620.30149900573
20	100	1	6	0	0.5	2.73113993985746	897.378301988334
20	100	1	6	0	0.5	4.74308654448981	2183824.83725133
20	100	1	6	0	0.5	3.49324221352455	704337.041632548
20	100	1	6	0	0.5	5.13342426839417	240802.299070223
20	100	1	6	0	0.5	3.00559046353202	208.281699527094
20	100	1	6	0	0.5	3.85202560746716	5789050.61016291
20	100	1	6	0	0.5	3	1474.28337989165
20	100	1	6	0	0.5	3.95325222444369	105795.822529063
20	100	1	6	0	0.5	3.56087477787452	928649.658581875
20	100	1	6	0	0.5	4.12637626206575	1446600.6505755
20	100	1	6	0	0.5	4.14749184415896	1141144.88041804
20	100	1	6	0	0.5	2.62214814305774	6422.69322681979
20	100	1	6	0	0.5	3.99923709001225	6165492.76107385
20	100	1	6	0	0.5	3.62104069790449	3721208.30540873
20	100	1	6	0	0.5	4.4535976605607	57016.2350014489
20	100	1	6	0	0.5	3.68590099761359	4078300.03558094
20	100	1	6	0	0.5	4.34670149624108	1006354.47654514
20	100	1	6	0	0.5	3.69897731531932	10556.2155061209
20	100	1	6	0	0.5	3.50295881371475	4960417.29049138
20	100	1	6	0	0.5	3.42347968533262	13083.5583143975
20	100	1	6	0.25	0.5	2.78910212315316	257.298589672656
20	100	1	6	0.25	0.5	2.78818472265953	70.7890126250109
20	100	1	6	0.25	0.5	3.30897137043149	141.448607553588
20	100	1	6	0.25	0.5	2	82.4559630572753
20	100	1	6	0.25	0.5	2.90480442146423	258.945803931952
20	100	1	6	0.25	0.5	2.84391181676736	365.614040273787
20	100	1	6	0.25	0.5	2.99365255247816	110.878917744786
20	100	1	6	0.25	0.5	3.33827487728001	276.699635078477
20	100	1	6	0.25	0.5	2.70550263220813	340.55078724893
20	100	1	6	0.25	0.5	2.59204932554257	68.6116976526891
20	100	1	6	0.25	0.5	1	2.71443327717677
20	100	1	6	0.25	0.5	2	62.345590226607
20	100	1	6	0.25	0.5	2.77195192048099	71.9101480720565
20	100	1	6	0.25	0.5	3.47091677975585	358.524844897128
20	100	1	6	0.25	0.5	3.4749794231618	384.658081569006
20	100	1	6	0.25	0.5	2	200.270255487178
20	100	1	6	0.25	0.5	2.45363349703055	342.09291501267
20	100	1	6	0.25	0.5	2.85877052792309	35.4281309282551
20	100	1	6	0.25	0.5	2.72666723173536	164.898867154395
20	100	1	6	0.25	0.5	2.92827687889648	375.930909423193
20	100	1	6	0.25	0.5	3.24302874299732	254.772976835796
20	100	1	6	0.25	0.5	3.35022289942369	410.316557224401
20	100	1	6	0.25	0.5	3.12805123230279	399.586184151582
20	100	1	6	0.25	0.5	3.41903962925564	250.672255830528
20	100	1	6	0.25	0.5	2.63834011167369	367.377685717699
20	100	1	6	0.25	0.5	2.85853211741881	34.6407546123694
20	100	1	6	0.25	0.5	2	3.76456855945369
20	100	1	6	0.25	0.5	2.87466574017492	24.5849470484427
20	100	1	6	0.25	0.5	2.53861345679747	42.6503226984817
20	100	1	6	0.25	0.5	2.91086315199395	233.913299790426
20	100	1	6	0.25	0.5	1	344.237295034735
20	100	1	6	0.25	0.5	2.8169070043668	356.109857098259
20	100	1	6	0.25	0.5	2.76889086400255	236.774558744134
20	100	1	6	0.25	0.5	3.41759494690072	342.1199153397
