"Temp"	"S"	"K"	"BMmax"	"TLmax"	"maxBM"
15	10	1	6	4	17244924.3637517
15	10	1	6	4.02600549000835	5015927.75446941
15	10	1	6	3.21642942721789	655870.40124222
15	10	1	6	3.73504961655423	49544585.4563097
15	10	1	6	3.99188615976331	4008393.16750161
15	10	1	6	4.00207561539653	129085353.362279
15	10	1	6	3.00002303062482	1020903.04109188
15	10	1	6	3.98798246833332	3479516.79456644
15	10	1	6	3.95923165308227	1629804.92948996
15	10	1	6	4.0230038828276	7304970.34339658
15	10	1	6	3	1624.45171136813
15	10	1	6	3.24667062099734	225472.829546785
15	10	1	6	4.04235729666346	53212818.7778385
15	10	1	6	3.92267629120858	1265517.20587235
15	10	1	6	3.97390844962697	16970689.961714
15	10	1	6	4	2319637.13061992
15	10	1	6	3.91403542023126	1045922.66804105
15	10	1	6	3.46121209153402	903.19306229492
15	10	1	6	3.00000115258436	12032400.7322203
15	10	1	6	4.0743454638719	7409287.03833762
15	10	1	6	3.98076326835725	3416765.19519167
15	10	1	6	3.00017977034988	14868762.2118435
15	10	1	6	3.0000000771519	5733124.7002577
15	10	1	6	3.99165793744827	443235.508451845
15	10	1	6	3.00001167626136	2064842.95289928
15	10	1	6	4.00000152308516	3302174.99405466
15	10	1	6	4.0114664308118	4365157.51513537
15	10	1	6	3.99998980619309	10146548.7196372
15	10	1	6	4	3120078.23993299
15	10	1	6	3.0000049017498	2032175.13308112
15	10	1	6	3.99611798600619	64935608.3930747
15	10	1	6	4.01535689404812	14059745.7312519
15	10	1	6	4.51880845493094	263652.231644295
15	10	1	6	3.99504071470861	13555790.591715
15	10	1	6	4	8725595.65544866
15	10	1	6	3.63266288973609	816156.096984156
15	10	1	6	4.00000242862456	4936034.43425067
15	10	1	6	3.60011694118823	5260919.60406228
15	10	1	6	2	9711900.83497997
15	10	1	6	3.99124034705974	18983130.7788598
15	10	1	6	4.00992742700156	6615320.97314935
15	10	1	6	3	425647.285703039
15	10	1	6	4.92686507529129	858709.980784785
15	10	1	6	3.99977714590898	4088410.33219449
15	10	1	6	3.00000470753867	54929337.0299015
15	10	1	6	4	13210803.9165311
15	10	1	6	3.99157877021421	7113069.37343913
15	10	1	6	4	3661899.03868316
15	10	1	6	3.98641284695395	22217752.3726748
15	10	1	6	3.9666185603889	154653226.669068
15	10	1	6	3.53778239487452	1013414.31773061
15	10	1	6	3.97773984768983	3193885.55088331
15	10	1	6	4.39057722178762	3635659.40537007
15	10	1	6	3.98905472020798	8091461.2127932
15	10	1	6	3.09403895898455	617694.975448718
15	10	1	6	3.99998772319388	2698065.49013973
15	10	1	6	3.94168138180622	64319664.9353369
15	10	1	6	3.93235807545857	13057870.9948705
20	10	1	6	4	14967808.4421511
